playlist_name,URL,main_mood,sub_mood
playlistA,URLA,happy,inspired
2021 Worship Playlist | @confidentwomanco ,https://open.spotify.com/playlist/01IjqCLRUZpgwIfXdyhZrs,happy,Confident
Confident,https://open.spotify.com/playlist/7DLPF60WF3qW4hND8I52TG,happy,Confident
Confident,https://open.spotify.com/playlist/2uXMDO5YEdfty59RDqhXek,happy,Confident
Confident music,https://open.spotify.com/playlist/2gaZvQijjhUlw2U9iQJuYI,happy,Confident
Confident,https://open.spotify.com/playlist/6oSHKnChRpspVJjV3tkUx0,happy,Confident
confident,https://open.spotify.com/playlist/7qiRfLO1cPqIwH8ZIsnXEN,happy,Confident
confident,https://open.spotify.com/playlist/00Pvy4EZyPJu6n6eadheJp,happy,Confident
Confident HOE,https://open.spotify.com/playlist/0alop7YkoJSJwKRP8FwQ8W,happy,Confident
Confident at the gym,https://open.spotify.com/playlist/3al3zxMeysd9kT4xpkaHWD,happy,Confident
confident,https://open.spotify.com/playlist/5718VDrN24OqP99lmaUa7v,happy,Confident
Confident,https://open.spotify.com/playlist/5gbOBKbSfbdQUCtdDIh1W1,happy,Confident
Confident🤍,https://open.spotify.com/playlist/1Ud5OohvRrzFQywKv7dToa,happy,Confident
confident,https://open.spotify.com/playlist/781k6XkdGY9WhzTCahp5Sk,happy,Confident
Confident 🤍,https://open.spotify.com/playlist/7CSJ4peW7u0ctQkc8QCBDK,happy,Confident
confidently lost ,https://open.spotify.com/playlist/6V5SCi72sAKJmM3FyXdazh,happy,Confident
Confidents ❤,https://open.spotify.com/playlist/1UpqbEnOAdj7B5cIKaJKBg,happy,Confident
♡`.°self confident ,https://open.spotify.com/playlist/3hfcs70YlHEWSdOPumNkG2,happy,Confident
confident booster,https://open.spotify.com/playlist/7vr26gP2AWDYvFd8on78zG,happy,Confident
Confident & boujee 💅🏼 ,https://open.spotify.com/playlist/1GrDsnDEAmyDAAkKtw4ZjU,happy,Confident
confident,https://open.spotify.com/playlist/6cQY0c7XTZhqauGdIzF2KE,happy,Confident
Confident bitch💋,https://open.spotify.com/playlist/3D5kk3enBq3HNux15LjY9m,happy,Confident
.Confident.,https://open.spotify.com/playlist/0bYS0gzkpkpvD8BIWFpVN3,happy,Confident
confidential.,https://open.spotify.com/playlist/4gHfEZk6ZzvakvE5CmdbHB,happy,Confident
Confident ,https://open.spotify.com/playlist/5V0ZIWka6vADJkg4wSKlpz,happy,Confident
I haven't really changed I am just confident,https://open.spotify.com/playlist/2Imp3jOh4E1VGNb22rR9Bb,happy,Confident
Adoration casa de pPaz,https://open.spotify.com/playlist/1hVWykTIa7nC6J5J2sOCEb,loving,Adoration
Confident❤️🥵,https://open.spotify.com/playlist/1W4lqfL8VHjnYxjZaHLKsp,happy,Confident
Confident boost ,https://open.spotify.com/playlist/64dYqsDuKzZjQ8Rpl8fBZi,happy,Confident
Confidently Lost,https://open.spotify.com/playlist/7GruMB63msOBvOKd2ygTIJ,happy,Confident
Confident bitch,https://open.spotify.com/playlist/0FFxUodgEAt2VYURO0YPaE,happy,Confident
confident bitxh,https://open.spotify.com/playlist/39rDnwtGPNYedXV2L4vnq4,happy,Confident
Confident,https://open.spotify.com/playlist/3uULRTuTbtQvAaWra5SV6I,happy,Confident
Confident Breakup Playlist,https://open.spotify.com/playlist/45MFZ4tU7mvJgyEtNixfIy,happy,Confident
livid -becca,https://open.spotify.com/playlist/4v6ljc6x30CK9BjWqKv725,Angry,livid
Confident Songs🥵,https://open.spotify.com/playlist/6VU2Pw5kXCvmChGtYFpH8a,happy,Confident
confident<3,https://open.spotify.com/playlist/4DQoDULl96sRjKZWVdwl5H,happy,Confident
Confident//Happy,https://open.spotify.com/playlist/4xC7e5WbHi8fof6e7DEVeF,happy,Confident
Confident,https://open.spotify.com/playlist/7D8h56f8jQfeJpQRJIcivs,happy,Confident
Confident,https://open.spotify.com/playlist/5RNcIgolewragiJO5AWqba,happy,Confident
Feeling confident before dating her,https://open.spotify.com/playlist/1XmP1YvcI9x1nJ9i5Bm2W6,happy,Confident
confidenthanife,https://open.spotify.com/playlist/1BMSGuyUAZXXyB8Tsov995,happy,Confident
i can confidently parallel park ,https://open.spotify.com/playlist/14GGhNCtw3jVvcdSYkNrXy,happy,Confident
Confident booter,https://open.spotify.com/playlist/2jZ1jTmlMsJ56cjPikv1mW,happy,Confident
Confidently Lost,https://open.spotify.com/playlist/4Wkz3PmlsNTkrjasbNVdzU,happy,Confident
confident af 😌💅,https://open.spotify.com/playlist/3YBx2HvG8IRPc8tHLakYLR,happy,Confident
confident ,https://open.spotify.com/playlist/5jUwrOUKdq79XWlTzrPadn,happy,Confident
Confident 💁🏼‍♀️,https://open.spotify.com/playlist/2QG2zOix9YaSoSeqsgKTfh,happy,Confident
Confidents,https://open.spotify.com/playlist/5cu7MWfCrhL91dkpvAyTit,happy,Confident
confident uwu,https://open.spotify.com/playlist/1WocSSoGqDD1fH0634ZLiK,happy,Confident
Clinically Depressed,https://open.spotify.com/playlist/5zRYDJeZJTk350Z4bOtMoj,sad,Depressed
